obsnme,obsval,weight,obgnme,oname,otype,time,usecol
oname:hds_otype:lst_usecol:trgw-0-15-16_time:3712.5,34.39971778,0.0,oname:hds_otype:lst_usecol:trgw-0-15-16,hds,lst,3712.5,trgw-0-15-16
oname:hds_otype:lst_usecol:trgw-0-15-16_time:3743.5,34.46978825,0.0,oname:hds_otype:lst_usecol:trgw-0-15-16,hds,lst,3743.5,trgw-0-15-16
oname:hds_otype:lst_usecol:trgw-0-15-16_time:3773.5,34.52604457,0.0,oname:hds_otype:lst_usecol:trgw-0-15-16,hds,lst,3773.5,trgw-0-15-16
oname:hds_otype:lst_usecol:trgw-0-15-16_time:3804.5,34.54011557,0.0,oname:hds_otype:lst_usecol:trgw-0-15-16,hds,lst,3804.5,trgw-0-15-16
oname:hds_otype:lst_usecol:trgw-0-15-16_time:3834.5,34.49631313,0.0,oname:hds_otype:lst_usecol:trgw-0-15-16,hds,lst,3834.5,trgw-0-15-16
oname:hds_otype:lst_usecol:trgw-0-15-16_time:3865.5,34.39382619,0.0,oname:hds_otype:lst_usecol:trgw-0-15-16,hds,lst,3865.5,trgw-0-15-16
oname:hds_otype:lst_usecol:trgw-0-15-16_time:3896.5,34.25776334,0.0,oname:hds_otype:lst_usecol:trgw-0-15-16,hds,lst,3896.5,trgw-0-15-16
oname:hds_otype:lst_usecol:trgw-0-15-16_time:3926.5,34.12302298,0.0,oname:hds_otype:lst_usecol:trgw-0-15-16,hds,lst,3926.5,trgw-0-15-16
oname:hds_otype:lst_usecol:trgw-0-15-16_time:3957.5,34.01544002,0.0,oname:hds_otype:lst_usecol:trgw-0-15-16,hds,lst,3957.5,trgw-0-15-16
oname:hds_otype:lst_usecol:trgw-0-15-16_time:3987.5,33.96439746,0.0,oname:hds_otype:lst_usecol:trgw-0-15-16,hds,lst,3987.5,trgw-0-15-16
oname:hds_otype:lst_usecol:trgw-0-15-16_time:4018.5,33.9785793,0.0,oname:hds_otype:lst_usecol:trgw-0-15-16,hds,lst,4018.5,trgw-0-15-16
oname:hds_otype:lst_usecol:trgw-0-15-16_time:4049.5,34.04994278,0.0,oname:hds_otype:lst_usecol:trgw-0-15-16,hds,lst,4049.5,trgw-0-15-16
oname:hds_otype:lst_usecol:trgw-0-15-16_time:4077.5,34.15037147,0.0,oname:hds_otype:lst_usecol:trgw-0-15-16,hds,lst,4077.5,trgw-0-15-16
oname:hds_otype:lst_usecol:trgw-0-15-16_time:4108.5,34.26737999,0.0,oname:hds_otype:lst_usecol:trgw-0-15-16,hds,lst,4108.5,trgw-0-15-16
oname:hds_otype:lst_usecol:trgw-0-15-16_time:4138.5,34.35417613,0.0,oname:hds_otype:lst_usecol:trgw-0-15-16,hds,lst,4138.5,trgw-0-15-16
oname:hds_otype:lst_usecol:trgw-0-15-16_time:4169.5,34.3894483,0.0,oname:hds_otype:lst_usecol:trgw-0-15-16,hds,lst,4169.5,trgw-0-15-16
oname:hds_otype:lst_usecol:trgw-0-15-16_time:4199.5,34.35965307,0.0,oname:hds_otype:lst_usecol:trgw-0-15-16,hds,lst,4199.5,trgw-0-15-16
oname:hds_otype:lst_usecol:trgw-0-15-16_time:4230.5,34.26777675,0.0,oname:hds_otype:lst_usecol:trgw-0-15-16,hds,lst,4230.5,trgw-0-15-16
oname:hds_otype:lst_usecol:trgw-0-15-16_time:4261.5,34.13968164,0.0,oname:hds_otype:lst_usecol:trgw-0-15-16,hds,lst,4261.5,trgw-0-15-16
oname:hds_otype:lst_usecol:trgw-0-15-16_time:4291.5,34.01122277,0.0,oname:hds_otype:lst_usecol:trgw-0-15-16,hds,lst,4291.5,trgw-0-15-16
oname:hds_otype:lst_usecol:trgw-0-15-16_time:4322.5,33.90907245,0.0,oname:hds_otype:lst_usecol:trgw-0-15-16,hds,lst,4322.5,trgw-0-15-16
oname:hds_otype:lst_usecol:trgw-0-15-16_time:4352.5,33.86482819,0.0,oname:hds_otype:lst_usecol:trgw-0-15-16,hds,lst,4352.5,trgw-0-15-16
oname:hds_otype:lst_usecol:trgw-0-15-16_time:4383.5,33.91556793,0.0,oname:hds_otype:lst_usecol:trgw-0-15-16,hds,lst,4383.5,trgw-0-15-16
oname:hds_otype:lst_usecol:trgw-0-2-15_time:3652.5,34.62650382,0.0,oname:hds_otype:lst_usecol:trgw-0-2-15,hds,lst,3652.5,trgw-0-2-15
oname:hds_otype:lst_usecol:trgw-0-2-15_time:3683.5,34.63356031,0.0,oname:hds_otype:lst_usecol:trgw-0-2-15,hds,lst,3683.5,trgw-0-2-15
oname:hds_otype:lst_usecol:trgw-0-2-15_time:3712.5,34.68438223,0.0,oname:hds_otype:lst_usecol:trgw-0-2-15,hds,lst,3712.5,trgw-0-2-15
oname:hds_otype:lst_usecol:trgw-0-2-15_time:3743.5,34.75615702,0.0,oname:hds_otype:lst_usecol:trgw-0-2-15,hds,lst,3743.5,trgw-0-2-15
oname:hds_otype:lst_usecol:trgw-0-2-15_time:3773.5,34.81333401,0.0,oname:hds_otype:lst_usecol:trgw-0-2-15,hds,lst,3773.5,trgw-0-2-15
oname:hds_otype:lst_usecol:trgw-0-2-15_time:3804.5,34.83323962,0.0,oname:hds_otype:lst_usecol:trgw-0-2-15,hds,lst,3804.5,trgw-0-2-15
oname:hds_otype:lst_usecol:trgw-0-2-15_time:3834.5,34.80143088,0.0,oname:hds_otype:lst_usecol:trgw-0-2-15,hds,lst,3834.5,trgw-0-2-15
oname:hds_otype:lst_usecol:trgw-0-2-15_time:3865.5,34.71769605,0.0,oname:hds_otype:lst_usecol:trgw-0-2-15,hds,lst,3865.5,trgw-0-2-15
oname:hds_otype:lst_usecol:trgw-0-2-15_time:3896.5,34.60229416,0.0,oname:hds_otype:lst_usecol:trgw-0-2-15,hds,lst,3896.5,trgw-0-2-15
oname:hds_otype:lst_usecol:trgw-0-2-15_time:3926.5,34.48534413,0.0,oname:hds_otype:lst_usecol:trgw-0-2-15,hds,lst,3926.5,trgw-0-2-15
oname:hds_otype:lst_usecol:trgw-0-2-15_time:3957.5,34.3891582,0.0,oname:hds_otype:lst_usecol:trgw-0-2-15,hds,lst,3957.5,trgw-0-2-15
oname:hds_otype:lst_usecol:trgw-0-2-15_time:3987.5,34.34174718,0.0,oname:hds_otype:lst_usecol:trgw-0-2-15,hds,lst,3987.5,trgw-0-2-15
oname:hds_otype:lst_usecol:trgw-0-2-15_time:4018.5,34.35132551,0.0,oname:hds_otype:lst_usecol:trgw-0-2-15,hds,lst,4018.5,trgw-0-2-15
oname:hds_otype:lst_usecol:trgw-0-2-15_time:4049.5,34.41128049,0.0,oname:hds_otype:lst_usecol:trgw-0-2-15,hds,lst,4049.5,trgw-0-2-15
oname:hds_otype:lst_usecol:trgw-0-2-15_time:4077.5,34.49780089,0.0,oname:hds_otype:lst_usecol:trgw-0-2-15,hds,lst,4077.5,trgw-0-2-15
oname:hds_otype:lst_usecol:trgw-0-2-15_time:4108.5,34.60081157,0.0,oname:hds_otype:lst_usecol:trgw-0-2-15,hds,lst,4108.5,trgw-0-2-15
oname:hds_otype:lst_usecol:trgw-0-2-15_time:4138.5,34.67974357,0.0,oname:hds_otype:lst_usecol:trgw-0-2-15,hds,lst,4138.5,trgw-0-2-15
oname:hds_otype:lst_usecol:trgw-0-2-15_time:4169.5,34.71575457,0.0,oname:hds_otype:lst_usecol:trgw-0-2-15,hds,lst,4169.5,trgw-0-2-15
oname:hds_otype:lst_usecol:trgw-0-2-15_time:4199.5,34.6954004,0.0,oname:hds_otype:lst_usecol:trgw-0-2-15,hds,lst,4199.5,trgw-0-2-15
oname:hds_otype:lst_usecol:trgw-0-2-15_time:4230.5,34.62076451,0.0,oname:hds_otype:lst_usecol:trgw-0-2-15,hds,lst,4230.5,trgw-0-2-15
oname:hds_otype:lst_usecol:trgw-0-2-15_time:4261.5,34.51270686,0.0,oname:hds_otype:lst_usecol:trgw-0-2-15,hds,lst,4261.5,trgw-0-2-15
oname:hds_otype:lst_usecol:trgw-0-2-15_time:4291.5,34.40187767,0.0,oname:hds_otype:lst_usecol:trgw-0-2-15,hds,lst,4291.5,trgw-0-2-15
oname:hds_otype:lst_usecol:trgw-0-2-15_time:4322.5,34.3112367,0.0,oname:hds_otype:lst_usecol:trgw-0-2-15,hds,lst,4322.5,trgw-0-2-15
oname:hds_otype:lst_usecol:trgw-0-2-15_time:4352.5,34.26867585,0.0,oname:hds_otype:lst_usecol:trgw-0-2-15,hds,lst,4352.5,trgw-0-2-15
oname:hds_otype:lst_usecol:trgw-0-2-15_time:4383.5,34.30728991,0.0,oname:hds_otype:lst_usecol:trgw-0-2-15,hds,lst,4383.5,trgw-0-2-15
oname:hds_otype:lst_usecol:trgw-0-2-9_time:3652.5,35.59470687,0.0,oname:hds_otype:lst_usecol:trgw-0-2-9,hds,lst,3652.5,trgw-0-2-9
oname:hds_otype:lst_usecol:trgw-0-2-9_time:3683.5,35.60865265,0.0,oname:hds_otype:lst_usecol:trgw-0-2-9,hds,lst,3683.5,trgw-0-2-9
oname:hds_otype:lst_usecol:trgw-0-2-9_time:3712.5,35.69618265,0.0,oname:hds_otype:lst_usecol:trgw-0-2-9,hds,lst,3712.5,trgw-0-2-9
oname:hds_otype:lst_usecol:trgw-0-2-9_time:3743.5,35.82961698,0.0,oname:hds_otype:lst_usecol:trgw-0-2-9,hds,lst,3743.5,trgw-0-2-9
oname:hds_otype:lst_usecol:trgw-0-2-9_time:3773.5,35.94879698,0.0,oname:hds_otype:lst_usecol:trgw-0-2-9,hds,lst,3773.5,trgw-0-2-9
oname:hds_otype:lst_usecol:trgw-0-2-9_time:3804.5,36.01242934,0.0,oname:hds_otype:lst_usecol:trgw-0-2-9,hds,lst,3804.5,trgw-0-2-9
oname:hds_otype:lst_usecol:trgw-0-2-9_time:3834.5,35.98604116,0.0,oname:hds_otype:lst_usecol:trgw-0-2-9,hds,lst,3834.5,trgw-0-2-9
oname:hds_otype:lst_usecol:trgw-0-2-9_time:3865.5,35.86173806,0.0,oname:hds_otype:lst_usecol:trgw-0-2-9,hds,lst,3865.5,trgw-0-2-9
oname:hds_otype:lst_usecol:trgw-0-2-9_time:3896.5,35.66480995,0.0,oname:hds_otype:lst_usecol:trgw-0-2-9,hds,lst,3896.5,trgw-0-2-9
oname:hds_otype:lst_usecol:trgw-0-2-9_time:3926.5,35.44546138,0.0,oname:hds_otype:lst_usecol:trgw-0-2-9,hds,lst,3926.5,trgw-0-2-9
oname:hds_otype:lst_usecol:trgw-0-2-9_time:3957.5,35.24276305,0.0,oname:hds_otype:lst_usecol:trgw-0-2-9,hds,lst,3957.5,trgw-0-2-9
oname:hds_otype:lst_usecol:trgw-0-2-9_time:3987.5,35.11492829,0.0,oname:hds_otype:lst_usecol:trgw-0-2-9,hds,lst,3987.5,trgw-0-2-9
oname:hds_otype:lst_usecol:trgw-0-2-9_time:4018.5,35.08402778,0.0,oname:hds_otype:lst_usecol:trgw-0-2-9,hds,lst,4018.5,trgw-0-2-9
oname:hds_otype:lst_usecol:trgw-0-2-9_time:4049.5,35.15106295,0.0,oname:hds_otype:lst_usecol:trgw-0-2-9,hds,lst,4049.5,trgw-0-2-9
oname:hds_otype:lst_usecol:trgw-0-2-9_time:4077.5,35.2812754,0.0,oname:hds_otype:lst_usecol:trgw-0-2-9,hds,lst,4077.5,trgw-0-2-9
oname:hds_otype:lst_usecol:trgw-0-2-9_time:4108.5,35.45924162,0.0,oname:hds_otype:lst_usecol:trgw-0-2-9,hds,lst,4108.5,trgw-0-2-9
oname:hds_otype:lst_usecol:trgw-0-2-9_time:4138.5,35.6131247,0.0,oname:hds_otype:lst_usecol:trgw-0-2-9,hds,lst,4138.5,trgw-0-2-9
oname:hds_otype:lst_usecol:trgw-0-2-9_time:4169.5,35.70477263,0.0,oname:hds_otype:lst_usecol:trgw-0-2-9,hds,lst,4169.5,trgw-0-2-9
oname:hds_otype:lst_usecol:trgw-0-2-9_time:4199.5,35.69961161,0.0,oname:hds_otype:lst_usecol:trgw-0-2-9,hds,lst,4199.5,trgw-0-2-9
oname:hds_otype:lst_usecol:trgw-0-2-9_time:4230.5,35.59281227,0.0,oname:hds_otype:lst_usecol:trgw-0-2-9,hds,lst,4230.5,trgw-0-2-9
oname:hds_otype:lst_usecol:trgw-0-2-9_time:4261.5,35.41042877,0.0,oname:hds_otype:lst_usecol:trgw-0-2-9,hds,lst,4261.5,trgw-0-2-9
oname:hds_otype:lst_usecol:trgw-0-2-9_time:4291.5,35.20344833,0.0,oname:hds_otype:lst_usecol:trgw-0-2-9,hds,lst,4291.5,trgw-0-2-9
oname:hds_otype:lst_usecol:trgw-0-2-9_time:4322.5,35.01228574,0.0,oname:hds_otype:lst_usecol:trgw-0-2-9,hds,lst,4322.5,trgw-0-2-9
oname:hds_otype:lst_usecol:trgw-0-2-9_time:4352.5,34.89507036,0.0,oname:hds_otype:lst_usecol:trgw-0-2-9,hds,lst,4352.5,trgw-0-2-9
oname:hds_otype:lst_usecol:trgw-0-2-9_time:4383.5,34.91495053,0.0,oname:hds_otype:lst_usecol:trgw-0-2-9,hds,lst,4383.5,trgw-0-2-9
oname:hds_otype:lst_usecol:trgw-0-21-10_time:3652.5,34.71336818,0.0,oname:hds_otype:lst_usecol:trgw-0-21-10,hds,lst,3652.5,trgw-0-21-10
oname:hds_otype:lst_usecol:trgw-0-21-10_time:3683.5,34.67902289,0.0,oname:hds_otype:lst_usecol:trgw-0-21-10,hds,lst,3683.5,trgw-0-21-10
oname:hds_otype:lst_usecol:trgw-0-21-10_time:3712.5,34.72623631,0.0,oname:hds_otype:lst_usecol:trgw-0-21-10,hds,lst,3712.5,trgw-0-21-10
oname:hds_otype:lst_usecol:trgw-0-21-10_time:3743.5,34.82279787,0.0,oname:hds_otype:lst_usecol:trgw-0-21-10,hds,lst,3743.5,trgw-0-21-10
oname:hds_otype:lst_usecol:trgw-0-21-10_time:3773.5,34.90952708,0.0,oname:hds_otype:lst_usecol:trgw-0-21-10,hds,lst,3773.5,trgw-0-21-10
oname:hds_otype:lst_usecol:trgw-0-21-10_time:3804.5,34.94388416,0.0,oname:hds_otype:lst_usecol:trgw-0-21-10,hds,lst,3804.5,trgw-0-21-10
oname:hds_otype:lst_usecol:trgw-0-21-10_time:3834.5,34.89611235,0.0,oname:hds_otype:lst_usecol:trgw-0-21-10,hds,lst,3834.5,trgw-0-21-10
oname:hds_otype:lst_usecol:trgw-0-21-10_time:3865.5,34.76046112,0.0,oname:hds_otype:lst_usecol:trgw-0-21-10,hds,lst,3865.5,trgw-0-21-10
oname:hds_otype:lst_usecol:trgw-0-21-10_time:3896.5,34.56475181,0.0,oname:hds_otype:lst_usecol:trgw-0-21-10,hds,lst,3896.5,trgw-0-21-10
oname:hds_otype:lst_usecol:trgw-0-21-10_time:3926.5,34.35786464,0.0,oname:hds_otype:lst_usecol:trgw-0-21-10,hds,lst,3926.5,trgw-0-21-10
oname:hds_otype:lst_usecol:trgw-0-21-10_time:3957.5,34.17688988,0.0,oname:hds_otype:lst_usecol:trgw-0-21-10,hds,lst,3957.5,trgw-0-21-10
oname:hds_otype:lst_usecol:trgw-0-21-10_time:3987.5,34.02837051,0.0,oname:hds_otype:lst_usecol:trgw-0-21-10,hds,lst,3987.5,trgw-0-21-10
oname:hds_otype:lst_usecol:trgw-0-21-10_time:4018.5,33.96993399,0.0,oname:hds_otype:lst_usecol:trgw-0-21-10,hds,lst,4018.5,trgw-0-21-10
oname:hds_otype:lst_usecol:trgw-0-21-10_time:4049.5,34.0114858,0.0,oname:hds_otype:lst_usecol:trgw-0-21-10,hds,lst,4049.5,trgw-0-21-10
oname:hds_otype:lst_usecol:trgw-0-21-10_time:4077.5,34.11819523,0.0,oname:hds_otype:lst_usecol:trgw-0-21-10,hds,lst,4077.5,trgw-0-21-10
oname:hds_otype:lst_usecol:trgw-0-21-10_time:4108.5,34.26740979,0.0,oname:hds_otype:lst_usecol:trgw-0-21-10,hds,lst,4108.5,trgw-0-21-10
oname:hds_otype:lst_usecol:trgw-0-21-10_time:4138.5,34.39160228,0.0,oname:hds_otype:lst_usecol:trgw-0-21-10,hds,lst,4138.5,trgw-0-21-10
oname:hds_otype:lst_usecol:trgw-0-21-10_time:4169.5,34.45382333,0.0,oname:hds_otype:lst_usecol:trgw-0-21-10,hds,lst,4169.5,trgw-0-21-10
oname:hds_otype:lst_usecol:trgw-0-21-10_time:4199.5,34.42548887,0.0,oname:hds_otype:lst_usecol:trgw-0-21-10,hds,lst,4199.5,trgw-0-21-10
oname:hds_otype:lst_usecol:trgw-0-21-10_time:4230.5,34.30479275,0.0,oname:hds_otype:lst_usecol:trgw-0-21-10,hds,lst,4230.5,trgw-0-21-10
oname:hds_otype:lst_usecol:trgw-0-21-10_time:4261.5,34.12048192,0.0,oname:hds_otype:lst_usecol:trgw-0-21-10,hds,lst,4261.5,trgw-0-21-10
oname:hds_otype:lst_usecol:trgw-0-21-10_time:4291.5,33.9225412,0.0,oname:hds_otype:lst_usecol:trgw-0-21-10,hds,lst,4291.5,trgw-0-21-10
oname:hds_otype:lst_usecol:trgw-0-21-10_time:4322.5,33.74929594,0.0,oname:hds_otype:lst_usecol:trgw-0-21-10,hds,lst,4322.5,trgw-0-21-10
oname:hds_otype:lst_usecol:trgw-0-21-10_time:4352.5,33.65284862,0.0,oname:hds_otype:lst_usecol:trgw-0-21-10,hds,lst,4352.5,trgw-0-21-10
oname:hds_otype:lst_usecol:trgw-0-21-10_time:4383.5,33.69012109,0.0,oname:hds_otype:lst_usecol:trgw-0-21-10,hds,lst,4383.5,trgw-0-21-10
oname:hds_otype:lst_usecol:trgw-0-22-15_time:3652.5,34.23955932,0.0,oname:hds_otype:lst_usecol:trgw-0-22-15,hds,lst,3652.5,trgw-0-22-15
oname:hds_otype:lst_usecol:trgw-0-22-15_time:3683.5,34.20582511,0.0,oname:hds_otype:lst_usecol:trgw-0-22-15,hds,lst,3683.5,trgw-0-22-15
oname:hds_otype:lst_usecol:trgw-0-22-15_time:3712.5,34.24051092,0.0,oname:hds_otype:lst_usecol:trgw-0-22-15,hds,lst,3712.5,trgw-0-22-15
oname:hds_otype:lst_usecol:trgw-0-22-15_time:3743.5,34.30363392,0.0,oname:hds_otype:lst_usecol:trgw-0-22-15,hds,lst,3743.5,trgw-0-22-15
oname:hds_otype:lst_usecol:trgw-0-22-15_time:3773.5,34.3547644,0.0,oname:hds_otype:lst_usecol:trgw-0-22-15,hds,lst,3773.5,trgw-0-22-15
oname:hds_otype:lst_usecol:trgw-0-22-15_time:3804.5,34.36828811,0.0,oname:hds_otype:lst_usecol:trgw-0-22-15,hds,lst,3804.5,trgw-0-22-15
oname:hds_otype:lst_usecol:trgw-0-22-15_time:3834.5,34.33007043,0.0,oname:hds_otype:lst_usecol:trgw-0-22-15,hds,lst,3834.5,trgw-0-22-15
oname:hds_otype:lst_usecol:trgw-0-22-15_time:3865.5,34.23727346,0.0,oname:hds_otype:lst_usecol:trgw-0-22-15,hds,lst,3865.5,trgw-0-22-15
oname:hds_otype:lst_usecol:trgw-0-22-15_time:3896.5,34.11328639,0.0,oname:hds_otype:lst_usecol:trgw-0-22-15,hds,lst,3896.5,trgw-0-22-15
oname:hds_otype:lst_usecol:trgw-0-22-15_time:3926.5,33.98911775,0.0,oname:hds_otype:lst_usecol:trgw-0-22-15,hds,lst,3926.5,trgw-0-22-15
oname:hds_otype:lst_usecol:trgw-0-22-15_time:3957.5,33.8880535,0.0,oname:hds_otype:lst_usecol:trgw-0-22-15,hds,lst,3957.5,trgw-0-22-15
oname:hds_otype:lst_usecol:trgw-0-22-15_time:3987.5,33.83112071,0.0,oname:hds_otype:lst_usecol:trgw-0-22-15,hds,lst,3987.5,trgw-0-22-15
oname:hds_otype:lst_usecol:trgw-0-22-15_time:4018.5,33.83054548,0.0,oname:hds_otype:lst_usecol:trgw-0-22-15,hds,lst,4018.5,trgw-0-22-15
oname:hds_otype:lst_usecol:trgw-0-22-15_time:4049.5,33.88332512,0.0,oname:hds_otype:lst_usecol:trgw-0-22-15,hds,lst,4049.5,trgw-0-22-15
oname:hds_otype:lst_usecol:trgw-0-22-15_time:4077.5,33.96600415,0.0,oname:hds_otype:lst_usecol:trgw-0-22-15,hds,lst,4077.5,trgw-0-22-15
oname:hds_otype:lst_usecol:trgw-0-22-15_time:4108.5,34.06596844,0.0,oname:hds_otype:lst_usecol:trgw-0-22-15,hds,lst,4108.5,trgw-0-22-15
oname:hds_otype:lst_usecol:trgw-0-22-15_time:4138.5,34.14144031,0.0,oname:hds_otype:lst_usecol:trgw-0-22-15,hds,lst,4138.5,trgw-0-22-15
oname:hds_otype:lst_usecol:trgw-0-22-15_time:4169.5,34.17217476,0.0,oname:hds_otype:lst_usecol:trgw-0-22-15,hds,lst,4169.5,trgw-0-22-15
oname:hds_otype:lst_usecol:trgw-0-22-15_time:4199.5,34.14537134,0.0,oname:hds_otype:lst_usecol:trgw-0-22-15,hds,lst,4199.5,trgw-0-22-15
oname:hds_otype:lst_usecol:trgw-0-22-15_time:4230.5,34.0616983,0.0,oname:hds_otype:lst_usecol:trgw-0-22-15,hds,lst,4230.5,trgw-0-22-15
oname:hds_otype:lst_usecol:trgw-0-22-15_time:4261.5,33.94457804,0.0,oname:hds_otype:lst_usecol:trgw-0-22-15,hds,lst,4261.5,trgw-0-22-15
oname:hds_otype:lst_usecol:trgw-0-22-15_time:4291.5,33.82579528,0.0,oname:hds_otype:lst_usecol:trgw-0-22-15,hds,lst,4291.5,trgw-0-22-15
oname:hds_otype:lst_usecol:trgw-0-22-15_time:4322.5,33.72928415,0.0,oname:hds_otype:lst_usecol:trgw-0-22-15,hds,lst,4322.5,trgw-0-22-15
oname:hds_otype:lst_usecol:trgw-0-22-15_time:4352.5,33.68455703,0.0,oname:hds_otype:lst_usecol:trgw-0-22-15,hds,lst,4352.5,trgw-0-22-15
oname:hds_otype:lst_usecol:trgw-0-22-15_time:4383.5,33.72490699,0.0,oname:hds_otype:lst_usecol:trgw-0-22-15,hds,lst,4383.5,trgw-0-22-15
oname:hds_otype:lst_usecol:trgw-0-24-4_time:3652.5,35.4528338,0.0,oname:hds_otype:lst_usecol:trgw-0-24-4,hds,lst,3652.5,trgw-0-24-4
oname:hds_otype:lst_usecol:trgw-0-24-4_time:3683.5,35.43612672,0.0,oname:hds_otype:lst_usecol:trgw-0-24-4,hds,lst,3683.5,trgw-0-24-4
oname:hds_otype:lst_usecol:trgw-0-24-4_time:3712.5,35.50067833,0.0,oname:hds_otype:lst_usecol:trgw-0-24-4,hds,lst,3712.5,trgw-0-24-4
oname:hds_otype:lst_usecol:trgw-0-24-4_time:3743.5,35.62453142,0.0,oname:hds_otype:lst_usecol:trgw-0-24-4,hds,lst,3743.5,trgw-0-24-4
